Insect family,Insect genus,Insect species,Plant family,Plant genus/species,Plant biostatus,Institute,Catalog number,Region,Locality,Year
Aphididae,Myzus,Myzus ornatus,Acanthaceae,Aphelandra,Exotic,PCNZ,,Wellington,"Levin, HRC",1977
Aphididae,Myzus,Myzus persicae,Acanthaceae,Aphelandra,Exotic,PANZ,,Auckland,Ellerslie,1979
Aphididae,Myzus,Myzus ornatus,Acanthaceae,Pachystachys lutea,Exotic,PANZ,,Hawkes Bay,Napier,1978
Coccidae,Ceroplastes,Ceroplastes sinensis,Acanthaceae,Thunbergia,Exotic,NZAC,NZAC02013319,Auckland,"Auckland, Mt Albert Research Centre",1980
Coccidae,Ceroplastes,Ceroplastes sinensis,Acanthaceae,Thunbergia,Exotic,NZAC,NZAC02013389,Auckland,"Auckland, Mt Albert Research Centre",1980
Coccidae,Saissetia,Saissetia coffeae,Acanthaceae,Thunbergia,Exotic,NZAC,NZAC02013975,Auckland,"Auckland, Mt Albert Research Centre",1980
Coccidae,Saissetia,Saissetia oleae,Acanthaceae,Avicennia marina,Indigenous,NZAC,NZAC02013837,Auckland,"Hauraki Gulf, Rangitoto I",1934
Coccidae,Saissetia,Saissetia coffeae,Acanthaceae,Avicennia marina,Indigenous,NZAC,NZAC02013675,Bay of Plenty,"Whakatane, Ohiwa Harbour",1984
Coccidae,Ceroplastes,Ceroplastes sinensis,Acanthaceae,Avicennia marina,Indigenous,NZAC,NZAC02013303,Auckland,"Auckland, Traherne I",1980
Coccidae,Ceroplastes,Ceroplastes sinensis,Acanthaceae,Avicennia marina,Indigenous,NZAC,NZAC02013325,Auckland,"Auckland, Traherne I",1980
Coccidae,Ceroplastes,Ceroplastes sinensis,Acanthaceae,Avicennia marina,Indigenous,NZAC,NZAC02013457,Coromandel,"Coromandels, Kopu",1983
Coccidae,Ceroplastes,Ceroplastes sinensis,Acanthaceae,Avicennia marina,Indigenous,NZAC,NZAC02013347,Auckland,Helensville,1982
Coccidae,Ceroplastes,Ceroplastes sinensis,Acanthaceae,Avicennia marina,Indigenous,NZAC,NZAC02013369,Auckland,Helensville,1982
Coccidae,Ceroplastes,Ceroplastes sinensis,Acanthaceae,Avicennia marina,Indigenous,NZAC,NZAC02013383,Auckland,Helensville,1982
Aphididae,Neomyzus,Neomyzus circumflexus,Actinidiaceae,Actinidia deliciosa,Exotic,PFNZ,,Auckland,"Auckland, Endt Oratia",1975
Aphididae,Aulacorthum,Aulacorthum solani,Actinidiaceae,Actinidia deliciosa,Exotic,PANZ,,Nelson,"Motueka, Ingles",1975
Aphididae,Euceraphis,Euceraphis punctipennis,Actinidiaceae,Actinidia deliciosa,Exotic,PANZ,,Mid canterbury,Christchurch,1979
Aphididae,Aulacorthum,Aulacorthum solani,Actinidiaceae,Actinidia,Exotic,NZAC,,Auckland,"Oratia, Endt",1975
Aphididae,Dysaphis,Dysaphis aucupariae,Actinidiaceae,Actinidia deliciosa,Exotic,PANZ,,Gisborne,Gisborne,1985
Aphididae,Aulacorthum,Aulacorthum solani,Actinidiaceae,Actinidia deliciosa,Exotic,PANZ,,,Te Puke,1975
Aphididae,Myzus,Myzus ornatus,Actinidiaceae,Actinidia deliciosa,Exotic,PCNZ,,Bay of Plenty,Te Puke,
Aphididae,Acyrthosiphon,Acyrthosiphon solani,Actinidiaceae,Actinidia deliciosa,Exotic,PANZ,,Auckland,Kumeu,1975
Aphididae,Aphis,Aphis nerii,Actinidiaceae,Actinidia deliciosa,Exotic,PCNZ,,Nelson ,Hope,
Aphididae,Aulacorthum,Aulacorthum solani,Actinidiaceae,Actinidia chinensis,Exotic,PANZ,,Auckland,,1979
Aphididae,Aulacorthum,Aulacorthum solani,Actinidiaceae,Actinidia deliciosa,Exotic,PCNZ,,Bay of Plenty,,
Aphididae,Aulacorthum,Aulacorthum solani,Actinidiaceae,Actinidia deliciosa,Exotic,PCNZ,,Bay of Plenty,,
Aphididae,Aulacorthum,Aulacorthum solani,Actinidiaceae,Actinidia deliciosa,Exotic,PCNZ,,Bay of Plenty,,
Aphididae,Aulacorthum,Aulacorthum solani,Actinidiaceae,Actinidia deliciosa,Exotic,PCNZ,,Bay of Plenty,,
Aphididae,Neomyzus,Neomyzus circumflexus,Actinidiaceae,Actinidia deliciosa,Exotic,PCNZ,,Bay of Plenty,,
